collectDatetime,jobId,nsMallName,productName,sellPrice,sequenceInPage,deliveryFee,collectUrl,품절퇴장여부,비고
2.02003E+13,490002,늑대동생,일회용마스크필터 50매 미마마스크 뉴네퓨어 어 닥터퓨리마스크 스크 블루나마스크 마스크 보겸마스크 피키마스크 에어글마스크 kf94필터원단 이지팜마스크 크 나노필터리필마스크 - 늑대동생,30000,3,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,필터
2.02003E+13,490003,종로강남팜,KF94 초 미세먼지 황사 더스논마스크 보건용마스크(끈조절+코스펀지) 소형 동아제약 - 종로강남팜,5000,1,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8D%94%EC%8A%A4%EB%85%BC+KF94&cat_id=&frm=NVSHATC&exagency=true,퇴장,
2.02003E+13,490003,늑대동생,kf94 마스크대형5매 일회용마스크필터 50매 웰킵스마스크 크리넥스마스크 웹킵스뉴네퓨어kf94 블루나마스크 상공양행마스크 에어글마스크 윈더가드마스크 크리넥스스타일마스크 더스논마스크 - 늑대동생,30000,2,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8D%94%EC%8A%A4%EB%85%BC+KF94&cat_id=&frm=NVSHATC&exagency=true,,5매
2.02003E+13,490003,늑대동생,일회용마스크필터 50매 웰킵스마스크 크리넥스마스크 웹킵스뉴네퓨어kf94 블루나마스크 상공양행마스크 에어글마스크 윈더가드마스크 크리넥스스타일마스크 더스논마스크 오원마스크 코로나나우 - 늑대동생,30000,3,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8D%94%EC%8A%A4%EB%85%BC+KF94&cat_id=&frm=NVSHATC&exagency=true, ,필터
2.02003E+13,490004,라이온코리아 공식몰,아이깨끗해 항균 폼 핸드 숍 상큼한 레몬향 250ml - 라이온코리아 공식몰,4100,1,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,G마켓,아이깨끗해 항균 폼 핸드 숍 상큼한 레몬향 250ml - G마켓,4190,2,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,옥션,아이깨끗해 항균 폼 핸드 숍 상큼한 레몬향 250ml - 옥션,4190,3,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,엔조이맘,아이깨끗해 항균 폼 핸드 숍 상큼한 레몬향 250ml - 엔조이맘,4590,4,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,인터파크,아이깨끗해 항균 폼 핸드 숍 상큼한 레몬향 250ml - 인터파크,4790,5,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,L스토어,라이온코리아 아이깨끗해 순 핸드워시 250ml - L스토어,4090,6,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,마이오피스,라이온코리아 아이깨끗해 순 핸드워시 250ml - 마이오피스,4100,7,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,둘레,라이온코리아 아이깨끗해 순 핸드워시 250ml - 둘레,4190,8,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,오즈의 스토어,라이온코리아 아이깨끗해 순 핸드워시 250ml - 오즈의 스토어,6080,9,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,위메프,라이온코리아 아이깨끗해 순 핸드워시 250ml - 위메프,6390,10,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,라이온코리아 직영몰,[라이온코리아]아이깨끗해 2020년 인기제품&신제품 모음/손세정제 - 라이온코리아 직영몰,1350,11,2900,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,롯데마트,아이깨끗해 용기 (레몬)(250ML) - 롯데마트,5900,12,3000,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,위메프,아이깨끗해 항균 폼 핸드 숍 달콤한 청포도향 250ml - 위메프,4170,13,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,옥션,아이깨끗해 항균 폼 핸드 숍 달콤한 청포도향 250ml - 옥션,4210,14,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,G마켓,아이깨끗해 항균 폼 핸드 숍 달콤한 청포도향 250ml - G마켓,4220,15,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,둘레,아이깨끗해 항균 폼 핸드 숍 달콤한 청포도향 250ml - 둘레,4230,16,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,공유가게,아이깨끗해 항균 폼 핸드 숍 달콤한 청포도향 250ml - 공유가게,4250,17,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,코코낸내 옷장,아이깨끗해 핸드워시 복숭아향 250ml - 코코낸내 옷장,4500,18,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,위메프,아이깨끗해 핸드워시 복숭아향 250ml - 위메프,4900,19,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,11번가,아이깨끗해 핸드워시 복숭아향 250ml - 11번가,6000,20,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,옥션,아이깨끗해 핸드워시 복숭아향 250ml - 옥션,8000,21,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,G마켓,아이깨끗해 핸드워시 복숭아향 250ml - G마켓,9600,22,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,위메프,아이깨끗해 한균 폼 핸드 숍 보송보송 파우더향 250ml - 위메프,4390,23,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,롯데백화점-본점,아이깨끗해 한균 폼 핸드 숍 보송보송 파우더향 250ml - 롯데백화점-본점,4410,24,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,인터파크,아이깨끗해 한균 폼 핸드 숍 보송보송 파우더향 250ml - 인터파크,4430,25,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
2.02003E+13,490004,11번가,아이깨끗해 한균 폼 핸드 숍 보송보송 파우더향 250ml - 11번가,5490,26,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C&exagency=true,,
